地區,大廈名單,個案最後到訪日期,相關個案編號
葵青,葵涌邨旭葵樓,,13696
離島,滿東邨滿康樓,,13697
油尖旺,地士道街15-23號樂園大廈,,13698
黃大仙,彩雲(一)邨長波樓,,13701
葵青,葵涌邨逸葵樓,,13702
葵青,葵涌邨逸葵樓,,13703
離島,竹篙灣檢疫中心,,13704
葵青,大窩口邨富泰樓,,13716
葵青,葵馥苑安葵樓,,13717
葵青,葵馥苑安葵樓,,13718
葵青,葵涌邨映葵樓,,13719
離島,竹篙灣檢疫中心,,13719
葵青,葵涌邨逸葵樓,,13746
葵青,葵涌邨逸葵樓,,13747
屯門,錦暉花園1座,,13753
北區,嘉福邨福安樓,,13754
離島,竹篙灣檢疫中心,,13754
沙田,錦豐苑錦蘭樓,,13755
九龍城,合成大廈,,13756
觀塘,彩盈邨盈康樓,,13757
中西區,帝后華庭1座,,13758
葵青,大窩口邨富平樓,,13759
葵青,大窩口邨富平樓,,13760
葵青,大窩口邨富平樓,,13761
葵青,大窩口邨富平樓,,13762
葵青,大窩口邨富平樓,,13763
黃大仙,豪苑1座,,13764
九龍城,龍譽1B座,,13765
黃大仙,豪苑1座,,13766
離島,藍天海岸6座,,13767
離島,藍天海岸影岸紅A座,,13768
離島,藍天海岸影岸紅A座,,13769
葵青,葵涌邨雅葵樓,,13770
葵青,葵涌邨曉葵樓,,13771
離島,竹篙灣檢疫中心,,13772
九龍城,鶴齡街10 號,,13773
離島,竹篙灣檢疫中心,,13773
葵青,葵涌邨逸葵樓,,13774
離島,竹篙灣檢疫中心,,13774
葵青,葵涌邨逸葵樓,,13775
離島,竹篙灣檢疫中心,,13775
葵青,葵涌邨逸葵樓,,13776
離島,竹篙灣檢疫中心,,13776
葵青,新葵芳花園C座,,13777
觀塘,彩德邨彩義樓,,13778
葵青,大窩口邨富平樓,,13778
葵青,葵涌邨逸葵樓,,13779
離島,竹篙灣檢疫中心,,13779
葵青,葵涌邨映葵樓,,13780
離島,竹篙灣檢疫中心,,13780
葵青,葵涌邨雅葵樓,,13781
葵青,葵涌邨逸葵樓,,13782
離島,竹篙灣檢疫中心,,13782
離島,貝澳新圍村,,13783
離島,竹篙灣檢疫中心,,13783
葵青,葵涌邨映葵樓,,13784
離島,竹篙灣檢疫中心,,13784
葵青,葵涌邨映葵樓,,13785
離島,竹篙灣檢疫中心,,13786
離島,貝澳新圍村,,13787
離島,竹篙灣檢疫中心,,13787
元朗,俊宏軒8座,,13788
葵青,葵涌邨雅葵樓,,13789
灣仔,帝盛酒店,,13790
離島,麗豪航天城酒店,,13791
離島,藍天海岸6座,,13793
葵青,葵涌邨映葵樓,,13794
離島,竹篙灣檢疫中心,,13794
葵青,宏福花園2座,,13795
元朗,天華邨華逸樓,,13796
北區,華明邨添明樓,,13797
離島,竹篙灣檢疫中心,,13797
葵青,葵涌邨逸葵樓,,13798
離島,竹篙灣檢疫中心,,13798
葵青,葵涌邨逸葵樓,,13799
離島,竹篙灣檢疫中心,,13799
葵青,葵涌邨逸葵樓,,13800
離島,竹篙灣檢疫中心,,13800
葵青,葵涌邨逸葵樓,,13801
離島,竹篙灣檢疫中心,,13801
離島,竹篙灣檢疫中心,,13802
葵青,葵涌邨逸葵樓,,13803
離島,竹篙灣檢疫中心,,13803
離島,藍天海岸6座,,13804
離島,竹篙灣檢疫中心,,13804
離島,藍天海岸6座,,13805
離島,竹篙灣檢疫中心,,13805
葵青,葵涌邨逸葵樓,,13806
北區,嘉福邨福安樓,,13807
離島,竹篙灣檢疫中心,,13807
大埔,太和邨翠和樓,,13808
荃灣,荃灣花園榮華閣,,13809
荃灣,荃灣花園榮華閣,,13810
荃灣,荃灣花園榮華閣,,13811
黃大仙,彩雲(一)邨長波樓,,13812
黃大仙,彩雲(一)邨長波樓,,13813
黃大仙,彩雲(一)邨長波樓,,13814
黃大仙,彩雲(一)邨長波樓,,13815
黃大仙,彩雲(一)邨長波樓,,13816
黃大仙,彩雲(一)邨長波樓,,13817
黃大仙,彩雲(一)邨長波樓,,13818
黃大仙,彩雲(一)邨長波樓,,13819
黃大仙,彩雲(一)邨長波樓,,13820
黃大仙,彩雲(一)邨長波樓,,13821
黃大仙,彩雲(一)邨長波樓,,13822
黃大仙,彩雲(一)邨長波樓,,13823
黃大仙,彩雲(一)邨長波樓,,13824
黃大仙,彩雲(一)邨長波樓,,13825
黃大仙,彩雲(一)邨長波樓,,13826
黃大仙,彩雲(一)邨長波樓,,13827
葵青,葵涌邨逸葵樓,,13828
葵青,葵涌邨逸葵樓,,13829
葵青,葵涌邨逸葵樓,,13830
葵青,葵涌邨逸葵樓,,13831
離島,竹篙灣檢疫中心,,13831
葵青,葵涌邨逸葵樓,,13832
葵青,葵涌邨逸葵樓,,13833
離島,竹篙灣檢疫中心,,13833
葵青,葵涌邨逸葵樓,,13834
葵青,葵涌邨逸葵樓,,13835
葵青,葵涌邨逸葵樓,,13836
葵青,葵涌邨逸葵樓,,13837
葵青,葵涌邨逸葵樓,,13838
葵青,葵涌邨春葵樓,,13839
葵青,葵涌邨映葵樓,,13840
葵青,葵涌邨映葵樓,,13841
葵青,葵涌邨映葵樓,,13842
九龍城,隆基大樓D座,,13843
東區,富薈炮台山酒店,,13844
東區,富薈炮台山酒店,,13845
離島,逸東邨居逸樓,,13846
葵青,新葵芳花園C座,,13847
黃大仙,慈正邨正泰樓,,13848
觀塘,康寧道 25-41號金橋華廈,,13849
觀塘,香港觀塘帝盛酒店,,13849
深水埗,基隆街220號,,13850
荃灣,尚翠苑翠河閣,,13851
葵青,葵涌邨逸葵樓,,13852
離島,竹篙灣檢疫中心,,13852
觀塘,牛頭角上邨常逸樓,,13853
觀塘,崇仁街 15-31 號安順大廈,,13854
黃大仙,宏景花園2座,,13855
葵青,大窩口邨富雅樓,,13856
觀塘,油麗邨雍麗樓,,13857
油尖旺,砵蘭街 336號,,13858
葵青,葵涌邨芊葵樓,,13859
東區,富怡花園1座,,13860
離島,逸東一邨祿逸樓,,13861
葵青,大窩口邨富平樓,,13862
中西區,華大盛品酒店,,13863
中西區,華美達海景酒店,,13864
葵青,葵涌邨逸葵樓,,13865
葵青,葵馥苑安葵閣,,13866
葵青,葵馥苑安葵閣,,13867
葵青,葵涌邨雅葵樓,,13868
離島,竹篙灣檢疫中心,,13868
離島,竹篙灣檢疫中心,,13869
大埔,三門仔新村,,13870
離島,竹篙灣檢疫中心,,13870
離島,竹篙灣檢疫中心,,13871
葵青,葵涌邨逸葵樓,,13872
葵青,葵涌邨逸葵樓,,13873
葵青,大窩口邨富逸樓,,13874
葵青,葵芳邨葵仁樓,,13875
荃灣,石圍角邨石菊樓,,13876
荃灣,石圍角邨石菊樓,,13877
離島,逸東二邨寶逸樓,,13878
離島,竹篙灣檢疫中心,,13878
黃大仙,彩雲(一)邨長波樓,,13879
黃大仙,彩雲(一)邨長波樓,,13880
離島,竹篙灣檢疫中心,,13881
葵青,葵涌邨逸葵樓,,13882
離島,竹篙灣檢疫中心,,13882
葵青,葵芳邨葵仁樓,,13883
離島,竹篙灣檢疫中心,,13883
離島,竹篙灣檢疫中心,,13884
離島,竹篙灣檢疫中心,,13885
離島,竹篙灣檢疫中心,,13886
離島,竹篙灣檢疫中心,,13887
離島,竹篙灣檢疫中心,,13888
離島,竹篙灣檢疫中心,,13889
離島,竹篙灣檢疫中心,,13890
葵青,葵涌邨映葵樓,,13891
離島,竹篙灣檢疫中心,,13891
黃大仙,彩雲(一)邨長波樓,,13892
葵青,大窩口邨富德樓,,13893
離島,竹篙灣檢疫中心,,13893
沙田,碧田街2號美柏苑,,13894
離島,竹篙灣檢疫中心,,13894
離島,竹篙灣檢疫中心,,13895
葵青,葵涌邨逸葵樓,,13896
離島,竹篙灣檢疫中心,,13896
沙田,恆安邨恆江樓,,13897
離島,竹篙灣檢疫中心,,13897
九龍城,炮仗街142-144B號立基大廈,,13898
九龍城,炮仗街142-144B號立基大廈,,13899
葵青,大窩口邨富逸樓,,13900
離島,竹篙灣檢疫中心,,13900
觀塘,翠屏南邨翠榮樓,,13901
觀塘,油麗邨雍麗樓,,13902
葵青,大窩口邨富平樓,,13903
觀塘,樂華(北)邨普華樓,,13904
屯門,良景邨良偉樓,,13905
葵青,葵涌邨逸葵樓,,13906
離島,竹篙灣檢疫中心,,13906
荃灣,大壩街77-83E號大苑樓,,13907
荃灣,碧堤半島3座,,13907
九龍城,炮仗街142-144B號立基大廈,,13908
葵青,葵涌邨芊葵樓,,13909
離島,竹篙灣檢疫中心,,13909
黃大仙,黃大仙上邨達善樓,,13910
東區,鯉魚門公園及度假村,,13910
離島,竹篙灣檢疫中心,,13911
離島,竹篙灣檢疫中心,,13912
離島,竹篙灣檢疫中心,,13913
離島,竹篙灣檢疫中心,,13914
九龍城,譚公道 108-114號雲天大樓,,13915
葵青,新葵芳花園C座,,13916
荃灣,石圍角邨石菊樓,,13917
荃灣,尚翠苑翠河閣,,13918
觀塘,麗港城13座,,13919
黃大仙,彩雲(一)邨日月樓,,13920
離島,竹篙灣檢疫中心,,13921
葵青,葵涌邨逸葵樓,,13922
葵青,葵馥苑安葵閣,,13923
葵青,葵涌邨逸葵樓,,13924
離島,竹篙灣檢疫中心,,13924
荃灣,荃灣花園吉祥閣,,13925
荃灣,石圍角邨石菊樓,,13926
荃灣,荃灣花園吉祥閣,,13927
九龍城,鳳儀街28號,,13928
東區,怡翠苑樂怡閣C座,,13929
東區,怡翠苑樂怡閣C座,,13930
東區,翠樂邨翠祿樓,,13931
葵青,葵芳邨葵仁樓,,13932
葵青,新葵芳花園C座,,13933
葵青,大窩口邨富華樓,,13934
九龍城,鳳儀街21號,,13935
葵青,葵涌邨映葵樓,,13936
離島,竹篙灣檢疫中心,,13936
東區,華美達盛景酒店,,13937
葵青,宏福花園2座,,13938
東區,怡翠苑樂怡閣C座,,13939
黃大仙,彩雲(一)邨白鳳樓,,13940
觀塘,安達邨賢達樓,,13941
葵青,葵涌邨逸葵樓,,13942
大埔,三門仔新村,,13943
離島,竹篙灣檢疫中心,,13943
西貢,尚德邨尚禮樓,,13944
沙田,金獅花園1期金輝閣,,13945
離島,竹篙灣檢疫中心,,13946
葵青,葵馥苑安葵閣,,13947
東區,華美達盛景酒店,,13948
東區,華美達盛景酒店,,13949
九龍城,九龍維景酒店,,13950
油尖旺,華美達華麗酒店,,13951
九龍城,九龍維景酒店,,13952
九龍城,九龍維景酒店,,13953
灣仔,華麗銅鑼灣酒店,,13954
九龍城,九龍維景酒店,,13955
九龍城,九龍維景酒店,,13956
油尖旺,華美達華麗酒店,,13957
離島,竹篙灣檢疫中心,,13958
離島,竹篙灣檢疫中心,,13959
離島,竹篙灣檢疫中心,,13960
離島,竹篙灣檢疫中心,,13961
葵青,葵涌邨逸葵樓,,13962
離島,竹篙灣檢疫中心,,13962
葵青,葵涌邨逸葵樓,,13963
離島,竹篙灣檢疫中心,,13963
離島,竹篙灣檢疫中心,,13964
荃灣,翠豐臺3座,,13965
離島,藍天海岸影岸紅B座8座,,13966
九龍城,九龍維景酒店,,13967
葵青,葵涌邨逸葵樓,,13968
沙田,富豪花園明麗閣,,13969
葵青,葵涌邨夏葵樓,,13970
離島,竹篙灣檢疫中心,,13970
元朗,俊宏軒5座,,13971
葵青,新葵芳花園C座,,13972
九龍城,永耀街23號,,13973
葵青,大窩口邨富平樓,,13975
葵青,大窩口邨富平樓,,13976
離島,藍天海岸影岸紅B座,,13977
離島,竹篙灣檢疫中心,,13978
葵青,宏福花園2座,,13979
沙田,錦豐苑錦蘭閣,,13980
離島,藍天海岸3座,,13981
葵青,葵涌邨映葵樓,,13982
離島,竹篙灣檢疫中心,,13982
荃灣,荃灣花園榮華閣,,13983
葵青,香港荃灣絲麗酒店,,13983
葵青,宏福花園2座,,13984
葵青,香港荃灣絲麗酒店,,13984
荃灣,荃灣花園榮華閣,,13985
葵青,香港荃灣絲麗酒店,,13985
葵青,葵涌邨逸葵樓,,13986
離島,藍天海岸影岸紅B座,,13987
葵青,葵涌邨映葵樓,,13988
離島,藍天海岸影岸紅B座,,13989
沙田,水泉澳邨河泉樓,,13990
離島,藍天海岸影岸紅B座,,13991
離島,藍天海岸影岸紅B座,,13992
沙田,萬怡酒店,,13993
葵青,葵涌邨夏葵樓,,13994
離島,竹篙灣檢疫中心,,13994
黃大仙,慈康邨康添樓,,13996
黃大仙,新光中心2座,,13997
葵青,葵馥苑安葵閣,,13998
葵青,石蔭東邨蔭裕樓,,13999
黃大仙,彩雲(一)邨白鳳樓,,14000
沙田,聽濤雅苑3座,,14001
九龍城,九龍城道183-183A號,,14002
葵青,葵涌邨春葵樓,,14004
大埔,寶華樓,,14005
觀塘,安達邨禮達樓,,14006
東區,宏德居德祿樓,,14007
東區,翠樂邨翠祿樓,,14008
葵青,葵涌邨映葵樓,,14009
離島,竹篙灣檢疫中心,,14009
葵青,葵涌邨映葵樓,,14010
離島,竹篙灣檢疫中心,,14010
離島,竹篙灣檢疫中心,,14011
葵青,葵涌邨逸葵樓,,14012
離島,逸東(一)邨清逸樓,,14013
荃灣,翠豐臺3座,,14014
葵青,葵涌邨逸葵樓,,14015
離島,竹篙灣檢疫中心,,14015
東區,華美達盛景酒店,,14016
東區,華美達盛景酒店,,14017
東區,華美達盛景酒店,,14018
中西區,華美達海景酒店,,14019
中西區,華美達海景酒店,,14020
東區,華美達盛景酒店,,14021
九龍城,九龍維景酒店,,14022
九龍城,九龍維景酒店,,14023
南區,南灣如心酒店,,14024
灣仔,華麗銅鑼灣酒店,,14025
油尖旺,華美達華麗酒店,,14026
九龍城,九龍維景酒店,,14027
油尖旺,華美達華麗酒店,,14028
九龍城,九龍維景酒店,,14029
葵青,葵涌邨映葵樓,,14030
離島,竹篙灣檢疫中心,,14030
黃大仙,彩雲(二)邨明麗樓,,14031
觀塘,安順大廈,,14032
東區,鯉魚門公園及度假村,,14032
九龍城,九龍維景酒店,,14033
黃大仙,慈康邨康添樓,,14034
葵青,月海灣1座,,14035
葵青,月海灣1座,,14036
荃灣,綠楊新邨M座,,14037
葵青,葵涌邨夏葵樓,,14038
離島,竹篙灣檢疫中心,,14039
西貢,日出康城5A期Malibu 1B座,,14040
沙田,聽濤雅苑3座,,14041
沙田,聽濤雅苑3座,,14042
大埔,美新大廈,,14043
荃灣,荃灣花園吉祥閣,,14044
九龍城,燕安街18號,,14045
離島,竹篙灣檢疫中心,,14046
離島,竹篙灣檢疫中心,,14047
黃大仙,環鳳街46號 興隆樓,,14048
葵青,葵涌邨逸葵樓,,14049
離島,竹篙灣檢疫中心,,14049
荃灣,石圍角邨石菊樓,,14050
九龍城,燕安街18號,,14051
九龍城,燕安街18號,,14052
觀塘,油麗邨雍麗樓,,14053
北區,萬屋邊,,14054
葵青,宏福花園2座,,14055
北區,邁爾豪園,,14056
葵青,大窩口邨富逸樓,,14057
葵青,葵涌邨雅葵樓,,14058
離島,竹篙灣檢疫中心,,14058
葵青,葵涌邨雅葵樓,,14059
離島,竹篙灣檢疫中心,,14059
屯門,新屯門中心3座,,14060
觀塘,油麗邨雍麗樓,,14061
黃大仙,黃大仙下邨龍順樓,,14062
離島,映灣園4期聽濤軒16座,,14063
離島,映灣園4期聽濤軒16座,,14064
離島,映灣園4期聽濤軒16座,,14065
離島,映灣園4期聽濤軒16座,,14066
離島,映灣園4期聽濤軒16座,,14067
深水埗,美孚新邨3期百老匯街41-43號,,14068
葵青,香港荃灣絲麗酒店,,14068
深水埗,美孚新邨3期百老匯街41-43號,,14069
葵青,香港荃灣絲麗酒店,,14069
黃大仙,成功樓,,14070
離島,竹篙灣檢疫中心,,14071
黃大仙,宏景花園2座,,14072
黃大仙,慈康邨康添樓,,14073
黃大仙,慈康邨康添樓,,14074
黃大仙,慈康邨康添樓,,14075
黃大仙,黃大仙下邨龍順樓,,14076
葵青,大窩口邨富逸樓,,14077
葵青,大窩口邨富逸樓,,14078
葵青,大窩口邨富逸樓,,14079
大埔,太和邨翠和樓,,14080
離島,竹篙灣檢疫中心,,14081
葵青,葵涌邨雅葵樓,,14082
離島,竹篙灣檢疫中心,,14082
葵青,大窩口邨富強樓,,14083
葵青,大窩口邨富碧樓,,14083
離島,竹篙灣檢疫中心,,14083
觀塘,彩盈邨盈康樓,,14084
離島,竹篙灣檢疫中心,,14084
葵青,葵涌邨逸葵樓,,14085
離島,竹篙灣檢疫中心,,14085
離島,竹篙灣檢疫中心,,14086
元朗,天華邨華逸樓,,14087
離島,竹篙灣檢疫中心,,14087
葵青,大窩口邨富逸樓,,14088
離島,竹篙灣檢疫中心,,14088
離島,竹篙灣檢疫中心,,14089
離島,竹篙灣檢疫中心,,14090
葵青,葵涌邨雅葵樓,,14091
離島,竹篙灣檢疫中心,,14091
元朗,天華邨華逸樓,,14092
離島,竹篙灣檢疫中心,,14092
離島,竹篙灣檢疫中心,,14093
觀塘,油麗邨雍麗樓,,14094
黃大仙,彩雲(一)邨時雨樓,,14095
屯門,星堤11座,,14096
離島,竹篙灣檢疫中心,,14097
元朗,水邊圍邨碧水樓,,14098
大埔,美新大廈,,14099
大埔,美新大廈,,14100
大埔,富善邨善鄰樓,,14101
沙田,博康邨博智樓,,14102
葵青,葵涌邨映葵樓,,14103
西貢,寶林邨寶寧樓,,14104
葵青,葵涌邨曉葵樓,,14105
離島,竹篙灣檢疫中心,,14105
黃大仙,彩雲(一)邨長波樓,,14106
觀塘,香港觀塘帝盛酒店,,14106
觀塘,彩興苑彩薈閣B座,,14107
西貢,寶林邨寶寧樓,,14108
西貢,寶林邨寶寧樓,,14109
離島,竹篙灣檢疫中心,,14110
大埔,太和邨翠和樓,,14111
黃大仙,彩雲(一)邨長波樓,,14112
觀塘,觀塘帝盛酒店,,14112
離島,竹篙灣檢疫中心,,14113
東區,華美達盛景酒店,,14114
葵青,葵涌邨逸葵樓,,14115
離島,竹篙灣檢疫中心,,14116
葵青,大窩口邨富逸樓,,14117
離島,竹篙灣檢疫中心,,14117
黃大仙,彩雲(一)邨長波樓,,14118
觀塘,觀塘帝盛酒店,,14118
葵青,石籬(二)邨石榮樓,,14119
荃灣,碧堤半島3座,,14120
西貢,寶林邨寶寧樓,,14121
沙田,聽濤雅苑3座,,14122
沙田,金獅花園2期金貴閣,,14123
元朗,天華邨華逸樓,,14124
元朗,少年警訊永久活動中心,,14124
北區,花都廣場6座,,14125
南區,奧華．時尚精品酒店．南岸,,14126
荃灣,映日灣2座,,14127
九龍城,大龍樓,,14130
荃灣,綠楊新邨P座,,14131
葵青,長青邨青松樓,,14132
屯門,藍地村,,14135
油尖旺,砵蘭街43號,,14136
葵青,葵芳邨葵歡樓,,14137
葵青,葵芳邨葵仁樓,,14138
葵青,葵芳邨葵仁樓,,14139
葵青,葵芳邨葵仁樓,,14140
北區,華明邨頌明樓,,14141
大埔,天賦海灣2期溋玥16座,,14142
大埔,天賦海灣2期溋玥16座,,14143
離島,竹篙灣檢疫中心,,14144
黃大仙,彩雲(二)邨明麗樓,,14145
離島,竹篙灣檢疫中心,,14146
屯門,良景邨良萃樓,,14147
荃灣,荃灣西如心酒店 (低座),,14149
荃灣,荃灣西如心酒店 (低座),,14150
東區,鯉魚門公園及度假村,,14151
黃大仙,慈康邨康添樓,,14152
葵青,葵馥苑安葵閣,,14153
葵青,香港荃灣絲麗酒店,,14153
葵青,葵馥苑安葵閣,,14154
葵青,香港荃灣絲麗酒店,,14154
葵青,葵芳邨葵仁樓,,14155
離島,竹篙灣檢疫中心,,14155
離島,藍天海岸影岸紅B座,,14156
九龍城,永耀街23號,,14157
葵青,石蔭東邨蔭裕樓,,14158
屯門,大興邨興平樓,,14159
元朗,少年警訊永久活動中心,,14159
葵青,葵聯邨聯喜樓,,14160
沙田,博康邨博智樓,,14161
葵青,葵涌邨映葵樓,,14162
離島,竹篙灣檢疫中心,,14162
黃大仙,彩雲(一)邨觀日樓,,14163
東區,維港頌7座,,14164
東區,維港頌7座,,14165
深水埗,元州街31號,,14166
葵青,香港荃灣絲麗酒店,,14166
葵青,葵馥苑安葵閣,,14167
屯門,建生邨樂生樓,,14168
葵青,葵芳邨葵仁樓,,14169
葵青,葵芳邨葵仁樓,,14170
葵青,葵聯邨聯逸樓,,14171
屯門,大興邨興平樓,,14173
元朗,少年警訊永久活動中心,,14173
屯門,大興邨興平樓,,14174
元朗,少年警訊永久活動中心,,14174
大埔,太和邨翠和樓,,14177
黃大仙,彩雲(一)邨長波樓,,14178
九龍城,啟晴邨康晴樓,,14179
黃大仙,彩雲(二)邨玉宇樓,,14180
黃大仙,彩峰苑,,14181
大埔,太和邨翠和樓,,14182
北區,天平邨天喜樓,,14182
離島,竹篙灣檢疫中心,,14183
荃灣,荃灣花園吉祥閣,,14184
離島,竹篙灣檢疫中心,,14184
九龍城,龍譽1B座,,14185
離島,竹篙灣檢疫中心,,14185
油尖旺,砵蘭街336號,,14186
離島,竹篙灣檢疫中心,,14186
油尖旺,砵蘭街336號,,14187
離島,竹篙灣檢疫中心,,14187
油尖旺,砵蘭街336號,,14188
離島,竹篙灣檢疫中心,,14188
黃大仙,彩雲(二)邨明麗樓,,14189
葵青,葵涌邨映葵樓,,14190
九龍城,燕安街18號,,14191
葵青,寧峰苑朗峰閣,,14192
葵青,安蔭邨祥蔭樓,,14193
葵青,安蔭邨祥蔭樓,,14194
離島,竹篙灣檢疫中心,,14195
葵青,葵涌邨映葵樓,,14196
離島,竹篙灣檢疫中心,,14197
黃大仙,宏景花園2座,,14198
離島,竹篙灣檢疫中心,,14198
觀塘,樂華(北)邨普華樓,,14199
離島,竹篙灣檢疫中心,,14199
觀塘,樂華(北)邨普華樓,,14200
離島,竹篙灣檢疫中心,,14200
觀塘,樂華(北)邨普華樓,,14201
離島,竹篙灣檢疫中心,,14201
觀塘,樂華(北)邨普華樓,,14202
離島,竹篙灣檢疫中心,,14202
東區,鯉魚門公園及度假村,,14203
油尖旺,華美達華麗酒店,,14204
屯門,大興邨興平樓,,14205
元朗,少年警訊永久活動中心,,14205
葵青,葵涌邨逸葵樓,,14206
離島,竹篙灣檢疫中心,,14206
離島,香港東涌福朋喜來登酒店,,14207
灣仔,灣仔帝盛酒店,,14208
九龍城,九龍維景酒店,,14209
離島,香港東涌福朋喜來登酒店,,14210
灣仔,銅鑼灣皇悅酒店,,14211
中西區,華美達海景酒店,,14212
中西區,華美達海景酒店,,14213
灣仔,灣仔帝盛酒店,,14214
中西區,華大盛品酒店,,14215
中西區,華大盛品酒店,,14216
灣仔,華麗銅鑼灣酒店,,14217
中西區,壹棠酒店及服務式公寓,,14218
葵青,華逸酒店,,14219
九龍城,富豪東方酒店,,14220
南區,奧華．時尚精品酒店．南岸,,14221
灣仔,華麗銅鑼灣酒店,,14222
屯門,湖景邨湖光樓,,14223
葵青,葵涌邨逸葵樓,,14224
離島,竹篙灣檢疫中心,,14224
離島,映灣園4期聽濤軒16座,,14225
葵青,葵涌邨夏葵樓,,14226
葵青,葵芳邨葵仁樓,,14227
荃灣,海濱花園海銀閣,,14228
中西區,毓明閣1座,,14229
離島,赤鱲角麗豪航天城酒店,,14230
離島,赤鱲角麗豪航天城酒店,,14231
灣仔,銅鑼灣皇悅酒店,,14232
東區,華美達盛景酒店,,14233
九龍城,富豪東方酒店,,14234
九龍城,永耀街23號,,14235
油尖旺,香港海景絲麗酒店,,14235
葵青,大窩口邨富華樓,,14236
葵青,香港荃灣絲麗酒店,,14236
葵青,大窩口邨富華樓,,14237
葵青,香港荃灣絲麗酒店,,14237
油尖旺,奶路臣街 2-2K號順景大廈,,14238
油尖旺,香港海景絲麗酒店,,14238
西貢,日出康城MALIBU 5A期1B座,,14239
屯門,富泰邨秀泰樓,,14240
大埔,美新大廈,,14241
中西區,華美達海景酒店,,14242
九龍城,裕新大廈,,14244
葵青,葵馥苑安葵樓,,14245
沙田,新翠邨新明樓,,14246
沙田,新翠邨新明樓,,14247
葵青,葵涌邨逸葵樓,,14248
離島,竹篙灣檢疫中心,,14248
東區,富怡花園1座,,14249
葵青,石籬(二)邨石華樓,,14250
元朗,朗屏邨悅屏樓,,14251
屯門,湖景邨湖光樓,,14252
葵青,石蔭東邨蔭裕樓,,14253
元朗,水邊圍邨碧水樓,,14254
大埔,美新大廈,,14255
大埔,美新大廈,,14256
觀塘,油麗邨雍麗樓,,14257
離島,竹篙灣檢疫中心,,14257
黃大仙,彩雲(一)邨時雨樓,,14258
黃大仙,彩雲(一)邨時雨樓,,14259
深水埗,凱樂苑凱曈閣,,14260
屯門,良景邨良智樓,,14261
大埔,太和邨翠和樓,,14262
觀塘,油塘邨貴塘樓,,14263
深水埗,大坑東邨東滿樓,,14264
黃大仙,彩雲(二)邨明麗樓,,14265
深水埗,大坑東邨東滿樓,,14266
大埔,海日灣II 11座,,14267
九龍城,中南大廈,,14268
黃大仙,慈康邨康添樓,,14269
觀塘,觀塘帝盛酒店,,14269
黃大仙,慈康邨康添樓,,14270
觀塘,觀塘帝盛酒店,,14270
黃大仙,慈康邨康添樓,,14271
觀塘,觀塘帝盛酒店,,14271
大埔,太和邨翠和樓,,14272
大埔,富善邨善景樓,,14273
九龍城,燕安街26-28號,,14274
南區,南灣如心酒店,,14275
觀塘,安順大樓,,14276
東區,鯉魚門公園及度假村,,14276
觀塘,安順大樓,,14277
東區,鯉魚門公園及度假村,,14277
葵青,新葵芳花園Ｃ座,,14278
離島,竹篙灣檢疫中心,,14278
葵青,葵涌邨秋葵樓,,14279
離島,竹篙灣檢疫中心,,14279
離島,竹篙灣檢疫中心,,14280
葵青,葵涌邨映葵樓,,14281
離島,竹篙灣檢疫中心,,14281
荃灣,荃灣花園吉祥閣,,14282
離島,竹篙灣檢疫中心,,14282
葵青,石蔭東邨蔭裕樓,,14283
離島,竹篙灣檢疫中心,,14283
葵青,葵聯邨聯欣樓,,14284
離島,竹篙灣檢疫中心,,14284
九龍城,合成大廈,,14285
離島,竹篙灣檢疫中心,,14285
葵青,石蔭東邨蔭裕樓,,14286
離島,竹篙灣檢疫中心,,14286
九龍城,合成大廈,,14287
離島,竹篙灣檢疫中心,,14287
九龍城,合成大廈,,14288
離島,竹篙灣檢疫中心,,14288
九龍城,合成大廈,,14289
離島,竹篙灣檢疫中心,,14289
九龍城,合成大廈,,14290
離島,竹篙灣檢疫中心,,14290
離島,竹篙灣檢疫中心,,14291
葵青,石蔭東邨蔭裕樓,,14292
離島,竹篙灣檢疫中心,,14292
葵青,石蔭東邨蔭裕樓,,14293
離島,竹篙灣檢疫中心,,14293
九龍城,鳳儀街26-28號,,14294
離島,竹篙灣檢疫中心,,14294
九龍城,鳳儀街26-28號,,14295
離島,竹篙灣檢疫中心,,14295
九龍城,燕安街18-20號,,14296
觀塘,觀塘帝盛酒店,,14296
九龍城,燕安街18-20號,,14297
觀塘,觀塘帝盛酒店,,14297
沙田,美城苑暉城閣,,14298
九龍城,鳳儀街26-28號,,14299
